,Unnamed: 0,Date,Symbol,Open,High,Low,Close,Volume,DayOfWeek
0,0,2020-03-13 20:00:00,ETHUSD,129.94,131.82,126.87,128.71,1940673.93,Friday
1,1,2020-03-13 19:00:00,ETHUSD,119.51,132.02,117.1,129.94,7579741.09,Friday
2,2,2020-03-13 18:00:00,ETHUSD,124.47,124.85,115.5,119.51,4898735.81,Friday
3,3,2020-03-13 17:00:00,ETHUSD,124.08,127.42,121.63,124.47,2753450.92,Friday
4,4,2020-03-13 16:00:00,ETHUSD,124.85,129.51,120.17,124.08,4461424.71,Friday
5,5,2020-03-13 15:00:00,ETHUSD,128.39,128.9,116.06,124.85,7378976.0,Friday
6,6,2020-03-13 14:00:00,ETHUSD,134.03,137.9,125.5,128.39,3733916.89,Friday
7,7,2020-03-13 13:00:00,ETHUSD,131.35,140.95,128.99,134.03,9582732.93,Friday
8,8,2020-03-13 12:00:00,ETHUSD,128.93,134.6,126.95,131.35,3906590.52,Friday
9,9,2020-03-13 11:00:00,ETHUSD,132.6,133.17,126.01,128.93,3311080.29,Friday
10,10,2020-03-13 10:00:00,ETHUSD,133.8,134.99,128.9,132.6,3483436.48,Friday
11,11,2020-03-13 09:00:00,ETHUSD,127.12,136.53,126.62,133.8,2767584.44,Friday
12,12,2020-03-13 08:00:00,ETHUSD,127.57,133.1,121.94,127.12,6808571.23,Friday
13,13,2020-03-13 07:00:00,ETHUSD,127.28,129.0,120.83,127.57,5255468.75,Friday
14,14,2020-03-13 06:00:00,ETHUSD,116.87,127.93,114.45,127.28,5701691.64,Friday
15,15,2020-03-13 05:00:00,ETHUSD,111.87,124.0,110.75,116.87,6507796.34,Friday
16,16,2020-03-13 04:00:00,ETHUSD,130.91,130.91,106.43,111.87,7802511.68,Friday
17,17,2020-03-13 03:00:00,ETHUSD,117.02,148.0,115.15,130.91,19431820.56,Friday
18,18,2020-03-13 02:00:00,ETHUSD,98.88,127.74,90.0,117.02,18546413.74,Friday
19,19,2020-03-13 01:00:00,ETHUSD,107.09,110.99,97.0,98.88,8079507.05,Friday
20,20,2020-03-13 00:00:00,ETHUSD,110.3,117.5,102.92,107.09,10329663.69,Friday
21,21,2020-03-12 23:00:00,ETHUSD,126.78,126.82,101.22,110.3,19338895.12,Thursday
22,22,2020-03-12 22:00:00,ETHUSD,130.3,134.25,124.83,126.78,8822759.15,Thursday
23,23,2020-03-12 21:00:00,ETHUSD,128.15,132.14,122.83,130.3,6500631.29,Thursday
24,24,2020-03-12 20:00:00,ETHUSD,138.0,138.96,124.04,128.15,19731142.71,Thursday
25,25,2020-03-12 19:00:00,ETHUSD,137.04,139.69,136.43,138.0,3815314.09,Thursday
26,26,2020-03-12 18:00:00,ETHUSD,141.8,143.0,136.52,137.04,2516644.89,Thursday
27,27,2020-03-12 17:00:00,ETHUSD,139.25,146.17,138.32,141.8,5055228.41,Thursday
28,28,2020-03-12 16:00:00,ETHUSD,141.24,142.49,134.53,139.25,4068304.19,Thursday
29,29,2020-03-12 15:00:00,ETHUSD,140.79,141.58,137.5,141.24,3419213.89,Thursday
30,30,2020-03-12 14:00:00,ETHUSD,135.39,144.0,131.0,140.79,8788199.04,Thursday
31,31,2020-03-12 13:00:00,ETHUSD,137.67,139.8,126.0,135.39,9683564.39,Thursday
32,32,2020-03-12 12:00:00,ETHUSD,136.83,144.63,135.0,137.67,9397363.08,Thursday
33,33,2020-03-12 11:00:00,ETHUSD,134.67,151.19,126.29,136.83,16556632.81,Thursday
34,34,2020-03-12 10:00:00,ETHUSD,167.5,168.3,126.28,134.67,17741252.81,Thursday
35,35,2020-03-12 09:00:00,ETHUSD,169.16,169.88,167.08,167.5,2524359.27,Thursday
36,36,2020-03-12 08:00:00,ETHUSD,171.38,172.07,166.24,169.16,4708832.94,Thursday
37,37,2020-03-12 07:00:00,ETHUSD,173.41,173.79,168.0,171.38,7019309.48,Thursday
38,38,2020-03-12 06:00:00,ETHUSD,181.43,181.53,171.14,173.41,8514139.23,Thursday
39,39,2020-03-12 05:00:00,ETHUSD,181.11,181.6,179.59,181.43,2282461.75,Thursday
40,40,2020-03-12 04:00:00,ETHUSD,182.55,182.57,177.16,181.11,4964683.12,Thursday
41,41,2020-03-12 03:00:00,ETHUSD,183.7,185.04,181.32,182.55,3095445.99,Thursday
42,42,2020-03-12 02:00:00,ETHUSD,184.43,187.3,182.0,183.7,4844506.45,Thursday
43,43,2020-03-12 01:00:00,ETHUSD,193.44,193.71,183.47,184.43,4970667.47,Thursday
44,44,2020-03-12 00:00:00,ETHUSD,194.61,195.64,192.02,193.44,1714112.98,Thursday
45,45,2020-03-11 23:00:00,ETHUSD,194.41,196.58,192.36,194.61,2605030.54,Wednesday
46,46,2020-03-11 22:00:00,ETHUSD,189.38,195.14,188.36,194.41,3606516.34,Wednesday
47,47,2020-03-11 21:00:00,ETHUSD,193.37,193.67,188.89,189.38,1788126.7,Wednesday
48,48,2020-03-11 20:00:00,ETHUSD,190.09,193.37,189.34,193.37,3739916.02,Wednesday
49,49,2020-03-11 19:00:00,ETHUSD,189.79,191.29,186.95,190.09,2700157.57,Wednesday
50,50,2020-03-11 18:00:00,ETHUSD,184.25,190.41,181.0,189.79,7425363.13,Wednesday
51,51,2020-03-11 17:00:00,ETHUSD,191.93,192.05,183.11,184.25,6806914.64,Wednesday
52,52,2020-03-11 16:00:00,ETHUSD,191.92,193.97,191.02,191.93,2544799.97,Wednesday
53,53,2020-03-11 15:00:00,ETHUSD,193.92,194.88,190.33,191.92,2622210.87,Wednesday
54,54,2020-03-11 14:00:00,ETHUSD,196.87,197.37,193.05,193.92,1874611.01,Wednesday
55,55,2020-03-11 13:00:00,ETHUSD,196.65,198.85,196.54,196.87,1041822.75,Wednesday
56,56,2020-03-11 12:00:00,ETHUSD,196.67,197.49,195.51,196.65,738175.46,Wednesday
57,57,2020-03-11 11:00:00,ETHUSD,197.37,198.44,195.83,196.67,664974.8,Wednesday
58,58,2020-03-11 10:00:00,ETHUSD,197.49,197.49,194.73,197.37,1276692.74,Wednesday
59,59,2020-03-11 09:00:00,ETHUSD,198.3,198.87,196.69,197.49,602140.44,Wednesday
60,60,2020-03-11 08:00:00,ETHUSD,199.07,201.02,197.93,198.3,844669.43,Wednesday
61,61,2020-03-11 07:00:00,ETHUSD,198.25,199.71,197.52,199.07,514923.46,Wednesday
62,62,2020-03-11 06:00:00,ETHUSD,199.38,200.36,198.24,198.25,419568.28,Wednesday
63,63,2020-03-11 05:00:00,ETHUSD,200.62,200.62,198.32,199.38,817773.68,Wednesday
64,64,2020-03-11 04:00:00,ETHUSD,201.84,202.22,200.62,200.62,580676.7,Wednesday
65,65,2020-03-11 03:00:00,ETHUSD,200.96,202.41,200.32,201.84,504032.33,Wednesday
66,66,2020-03-11 02:00:00,ETHUSD,202.48,202.71,200.51,200.96,510193.41,Wednesday
67,67,2020-03-11 01:00:00,ETHUSD,202.23,202.98,201.35,202.48,788915.78,Wednesday
68,68,2020-03-11 00:00:00,ETHUSD,200.5,202.52,199.9,202.23,458619.5,Wednesday
69,69,2020-03-10 23:00:00,ETHUSD,203.08,203.08,199.97,200.5,2815650.67,Tuesday
70,70,2020-03-10 22:00:00,ETHUSD,202.68,203.56,202.1,203.08,1041746.8,Tuesday
71,71,2020-03-10 21:00:00,ETHUSD,203.12,203.5,201.82,202.68,767627.35,Tuesday
72,72,2020-03-10 20:00:00,ETHUSD,202.26,204.0,200.88,203.12,2070524.52,Tuesday
73,73,2020-03-10 19:00:00,ETHUSD,199.31,202.55,198.9,202.26,1084960.23,Tuesday
74,74,2020-03-10 18:00:00,ETHUSD,201.22,201.22,198.39,199.31,1564766.86,Tuesday
75,75,2020-03-10 17:00:00,ETHUSD,199.36,201.47,198.4,201.22,1411559.09,Tuesday
76,76,2020-03-10 16:00:00,ETHUSD,196.55,199.8,195.17,199.36,1351197.97,Tuesday
77,77,2020-03-10 15:00:00,ETHUSD,203.42,203.42,196.0,196.55,4273768.87,Tuesday
78,78,2020-03-10 14:00:00,ETHUSD,202.85,205.26,202.57,203.42,1088440.64,Tuesday
79,79,2020-03-10 13:00:00,ETHUSD,205.79,206.19,201.41,202.85,2082634.98,Tuesday
80,80,2020-03-10 12:00:00,ETHUSD,203.23,206.28,203.02,205.79,1860280.97,Tuesday
81,81,2020-03-10 11:00:00,ETHUSD,203.47,205.38,202.36,203.23,1871438.76,Tuesday
82,82,2020-03-10 10:00:00,ETHUSD,198.32,204.47,198.04,203.47,3035196.22,Tuesday
83,83,2020-03-10 09:00:00,ETHUSD,199.24,199.37,197.74,198.32,541959.45,Tuesday
84,84,2020-03-10 08:00:00,ETHUSD,198.93,200.57,198.24,199.24,654138.42,Tuesday
85,85,2020-03-10 07:00:00,ETHUSD,200.43,200.43,197.25,198.93,1517842.0,Tuesday
86,86,2020-03-10 06:00:00,ETHUSD,202.84,203.34,200.05,200.43,686848.52,Tuesday
87,87,2020-03-10 05:00:00,ETHUSD,203.31,203.61,202.03,202.84,518344.49,Tuesday
